created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2023-09-18T19:52:33-03:00,1,0.00000,,,,,,,,,,,
2023-09-18T19:52:50-03:00,2,0.00000,,,,,,,,,,,
2023-09-18T19:53:05-03:00,3,0.00000,,,,,,,,,,,
2023-09-18T19:53:21-03:00,4,0.00000,,,,,,,,,,,
2023-09-18T19:54:03-03:00,5,0.00000,,,,,,,,,,,
2023-09-18T19:54:18-03:00,6,,0.00000,,,,,,,,,,
2023-09-18T19:54:34-03:00,7,0.00000,,,,,,,,,,,
2023-09-18T19:54:50-03:00,8,0.00000,,,,,,,,,,,
2023-09-18T19:55:05-03:00,9,,0.00000,,,,,,,,,,
2023-09-18T19:55:21-03:00,10,,0.00000,,,,,,,,,,
2023-09-18T19:55:37-03:00,11,0.00000,,,,,,,,,,,
2023-09-18T19:55:53-03:00,12,0.00000,,,,,,,,,,,
2023-09-18T19:56:09-03:00,13,0.00000,,,,,,,,,,,
2023-09-18T19:56:28-03:00,14,0.00000,,,,,,,,,,,
2023-09-18T19:56:44-03:00,15,0.00000,,,,,,,,,,,
2023-09-18T19:57:00-03:00,16,0.00000,,,,,,,,,,,
2023-09-18T19:57:16-03:00,17,0.00000,,,,,,,,,,,
2023-09-18T19:57:31-03:00,18,0.00000,,,,,,,,,,,
2023-09-18T19:57:47-03:00,19,,0.00000,,,,,,,,,,
2023-09-18T19:58:03-03:00,20,,0.00000,,,,,,,,,,
2023-09-18T19:58:18-03:00,21,,0.00000,,,,,,,,,,
2023-09-18T19:58:33-03:00,22,,0.00000,,,,,,,,,,
2023-09-18T20:01:49-03:00,23,0.00000,,,,,,,,,,,
2023-09-18T20:02:04-03:00,24,0.00000,,,,,,,,,,,
2023-09-18T20:02:19-03:00,25,0.00000,,,,,,,,,,,
2023-09-18T20:02:35-03:00,26,0.00000,,,,,,,,,,,
2023-09-18T20:02:50-03:00,27,,0.00000,,,,,,,,,,
2023-09-18T20:03:05-03:00,28,,0.00000,,,,,,,,,,
2023-09-18T20:03:34-03:00,29,0.00000,,,,,,,,,,,
2023-09-18T20:03:49-03:00,30,,0.00000,,,,,,,,,,
2023-09-18T20:04:56-03:00,31,0.00000,,,,,,,,,,,
2023-09-18T20:06:47-03:00,32,0.00000,,,,,,,,,,,
2023-09-18T20:07:52-03:00,33,0.00000,,,,,,,,,,,
2023-09-18T20:08:36-03:00,34,0.00000,,,,,,,,,,,
2023-09-18T20:08:52-03:00,35,0.00000,,,,,,,,,,,
2023-09-18T20:09:08-03:00,36,0.00000,,,,,,,,,,,
2023-09-18T20:09:23-03:00,37,,0.00000,,,,,,,,,,
2023-09-18T20:09:39-03:00,38,0.00000,,,,,,,,,,,
2023-09-18T20:09:54-03:00,39,,0.00000,,,,,,,,,,
2023-09-18T20:10:10-03:00,40,0.00000,,,,,,,,,,,
2023-09-18T20:10:25-03:00,41,,0.00000,,,,,,,,,,
2023-09-18T20:10:41-03:00,42,,0.00000,,,,,,,,,,
2023-09-18T20:10:57-03:00,43,0.00000,,,,,,,,,,,
2023-09-18T20:11:29-03:00,44,0.00000,,,,,,,,,,,
2023-09-18T20:11:45-03:00,45,0.00000,,,,,,,,,,,
2023-09-18T22:12:02-03:00,46,0.00000,,,,,,,,,,,
2023-09-18T22:13:16-03:00,47,0.00000,,,,,,,,,,,
2023-09-18T22:13:31-03:00,48,0.00000,,,,,,,,,,,
2023-09-18T22:15:19-03:00,49,0.00000,,,,,,,,,,,
2023-09-18T22:15:34-03:00,50,,0.00000,,,,,,,,,,
2023-09-18T22:16:02-03:00,51,0.00000,,,,,,,,,,,
2023-09-18T22:16:27-03:00,52,0.00000,,,,,,,,,,,
2023-09-18T22:18:10-03:00,53,,0.00000,,,,,,,,,,
2023-09-18T22:20:08-03:00,54,0.00000,,,,,,,,,,,
2023-09-18T22:20:38-03:00,55,0.00000,,,,,,,,,,,
2023-09-18T22:21:00-03:00,56,0.00000,,,,,,,,,,,
2023-09-18T22:21:26-03:00,57,0.00000,,,,,,,,,,,
2023-09-18T22:22:04-03:00,58,0.00000,,,,,,,,,,,
2023-09-18T22:22:19-03:00,59,0.00000,,,,,,,,,,,
2023-09-18T22:22:38-03:00,60,0.00000,,,,,,,,,,,
2023-09-18T22:22:57-03:00,61,0.00000,,,,,,,,,,,
2023-09-18T22:23:14-03:00,62,0.00000,,,,,,,,,,,
2023-09-18T22:23:29-03:00,63,0.00000,,,,,,,,,,,
2023-09-18T22:23:45-03:00,64,,0.00000,,,,,,,,,,
2023-09-18T22:24:00-03:00,65,0.00000,,,,,,,,,,,
2023-09-18T22:24:24-03:00,66,0.00000,,,,,,,,,,,
2023-09-18T22:25:37-03:00,67,0.00000,,,,,,,,,,,
2023-09-18T22:26:03-03:00,68,0.00000,,,,,,,,,,,
2023-09-18T22:26:34-03:00,69,0.00000,,,,,,,,,,,
2023-09-18T22:27:04-03:00,70,0.00000,,,,,,,,,,,
2023-09-18T22:27:21-03:00,71,0.00000,,,,,,,,,,,
2023-09-18T22:27:47-03:00,72,0.00000,,,,,,,,,,,
2023-09-18T22:28:16-03:00,73,0.00000,,,,,,,,,,,
2023-09-18T22:28:32-03:00,74,0.00000,,,,,,,,,,,
2023-09-18T22:28:56-03:00,75,0.00000,,,,,,,,,,,
2023-09-18T22:29:31-03:00,76,0.00000,,,,,,,,,,,
2023-09-18T22:29:53-03:00,77,0.00000,,,,,,,,,,,
